Location,x,y
Mayaguez,18.201819,-67.14837
Hormigueros,18.133332,-67.111634
Cabo Rojo,18.101135,-67.139348
Aguadilla,18.451758,-67.097175
Lares,18.3474107,-67.1558207
Quebradillas,18.466562,-67.0881318
Ponce,17.986841,-66.609358
Utuado,18.2732907,-66.7211936
Juana Diaz,18.0546222,-66.5137272
Ciales,18.3252262,-66.5096138
Vega Baja,18.4429667,-66.4373285
Corozal,18.3401822,-66.3304551
Arecibo,18.438373,-66.668406
Yabucoa,18.0463748,-65.8885453
Caguas,18.2392285,-66.0770616
Humacao,18.1474278,-65.8541892
Fajardo,18.3332458,-65.6913896
Sanjuan,18.4076012,-66.0549193
